"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated IPW (no cloning)","OR",3,-1,"small",0.5,25,0.435730607631555,0.427098922794016,0.00863168483753877,0.0752694013914704,0.00863168483753877,NA,100
"Federated IPW (no cloning)","OR",6,-1,"small",0.5,25,0.551198824024568,0.494198818732103,0.0570000052924652,0.0597656403782701,0.0570000052924652,NA,100
"Federated IPW (no cloning)","OR",9,-1,"small",0.5,25,0.651240950037818,0.53554712579243,0.115693824245387,0.0594792416335545,0.115693824245387,NA,100
"Federated IPW (no cloning)","OR",3,-0.7,"small",0.5,25,0.600866514809654,0.544062064736152,0.0568044500735024,0.0975894299158456,0.0568044500735024,NA,100
"Federated IPW (no cloning)","OR",6,-0.7,"small",0.5,25,0.677357626665853,0.601271192140172,0.0760864345256815,0.0698959508536428,0.0760864345256815,NA,100
"Federated IPW (no cloning)","OR",9,-0.7,"small",0.5,25,0.784915197063062,0.635736871427349,0.149178325635713,0.0680216026270235,0.149178325635713,NA,100
"Federated IPW (no cloning)","OR",3,-0.5,"small",0.5,25,0.69321387144631,0.644258336427251,0.048955535019059,0.132282601673299,0.048955535019059,NA,100
"Federated IPW (no cloning)","OR",6,-0.5,"small",0.5,25,0.83494191456916,0.690675079681274,0.144266834887885,0.10383866761483,0.144266834887885,NA,100
"Federated IPW (no cloning)","OR",9,-0.5,"small",0.5,25,0.939778934410439,0.718671968743803,0.221106965666637,0.102763353543069,0.221106965666637,NA,100
"Federated IPW (no cloning)","OR",3,-1,"strong",1.5,25,0.57376922205559,0.423054773738354,0.150714448317235,0.148480140385754,0.150714448317235,NA,100
"Federated IPW (no cloning)","OR",6,-1,"strong",1.5,25,0.723221990290201,0.479834771626606,0.243387218663595,0.198741230844709,0.243387218663595,NA,100
"Federated IPW (no cloning)","OR",9,-1,"strong",1.5,25,0.86005114531854,0.507877056794272,0.352174088524267,0.195196763211658,0.352174088524267,NA,100
"Federated IPW (no cloning)","OR",3,-0.7,"strong",1.5,25,0.750841204233997,0.542655710402632,0.208185493831364,0.26444082710091,0.208185493831364,NA,100
"Federated IPW (no cloning)","OR",6,-0.7,"strong",1.5,25,0.87905852295087,0.590302032313829,0.28875649063704,0.250011834213149,0.28875649063704,NA,100
"Federated IPW (no cloning)","OR",9,-0.7,"strong",1.5,25,1.19482703700515,0.613030712967855,0.581796324037291,0.279357653210911,0.581796324037291,NA,100
"Federated IPW (no cloning)","OR",3,-0.5,"strong",1.5,25,0.948136635860035,0.644678273151436,0.3034583627086,0.272891325693776,0.3034583627086,NA,100
