"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",8,-0.5,"medium",1,25,"lpm",-0.0553925080214092,-0.0512113647691539,-0.00418114325225534,0.0233166710878672,0.0235735537840493,0.98,100
"Federated CCW","RD",2,-1,"strong",2,25,"correct",-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",2,-1,"strong",2,25,"no_lag",-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",2,-1,"strong",2,25,"no_tv",-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",2,-1,"strong",2,25,"coarse_L",-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",2,-1,"strong",2,25,"nonlinear_L",-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",2,-1,"strong",2,25,"cloglog",-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",2,-1,"strong",2,25,"lpm",-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",5,-1,"strong",2,25,"correct",-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",5,-1,"strong",2,25,"no_lag",-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",5,-1,"strong",2,25,"no_tv",-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",5,-1,"strong",2,25,"coarse_L",-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",5,-1,"strong",2,25,"nonlinear_L",-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",5,-1,"strong",2,25,"cloglog",-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",5,-1,"strong",2,25,"lpm",-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",8,-1,"strong",2,25,"correct",-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",8,-1,"strong",2,25,"no_lag",-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",8,-1,"strong",2,25,"no_tv",-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",8,-1,"strong",2,25,"coarse_L",-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",8,-1,"strong",2,25,"nonlinear_L",-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",8,-1,"strong",2,25,"cloglog",-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",8,-1,"strong",2,25,"lpm",-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"correct",-0.0754065340644103,-0.102744180069684,0.0273376460052732,0.0883004241442855,0.0920127281637152,0.77,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"no_lag",-0.0754065340644103,-0.102744180069684,0.0273376460052732,0.0883004241442855,0.0920127281637152,0.77,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"no_tv",-0.0754065340644103,-0.102744180069684,0.0273376460052732,0.0883004241442855,0.0920127281637152,0.77,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"coarse_L",-0.0754065340644103,-0.102744180069684,0.0273376460052732,0.0883004241442855,0.0920127281637152,0.77,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"nonlinear_L",-0.0754065340644103,-0.102744180069684,0.0273376460052732,0.0883004241442855,0.0920127281637152,0.77,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"cloglog",-0.0754065340644103,-0.102744180069684,0.0273376460052732,0.0883004241442855,0.0920127281637152,0.77,100
