"task_id","rep","tau","sample_size_scenario","initiation_scenario","n_per_site","total_n","init_intercept","zero_cov_init_prob","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_treated_rate"
1,147,4,"low","low",300,3000,-5,0.00669285092428486,0.0423333333333333,0.0233333333333333,0.0633333333333333,1758,0.0398179749715586
1,148,4,"low","low",300,3000,-5,0.00669285092428486,0.0423333333333333,0.0233333333333333,0.0633333333333333,1754,0.0381984036488027
1,149,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0233333333333333,0.0633333333333333,1765,0.0379603399433428
1,150,4,"low","low",300,3000,-5,0.00669285092428486,0.0413333333333333,0.0233333333333333,0.06,1778,0.0359955005624297
1,151,4,"low","low",300,3000,-5,0.00669285092428486,0.042,0.0233333333333333,0.06,1779,0.0354131534569983
1,152,4,"low","low",300,3000,-5,0.00669285092428486,0.0436666666666667,0.0366666666666667,0.06,1760,0.0369318181818182
1,153,4,"low","low",300,3000,-5,0.00669285092428486,0.045,0.0366666666666667,0.06,1774,0.0400225479143179
1,154,4,"low","low",300,3000,-5,0.00669285092428486,0.046,0.04,0.06,1780,0.0410112359550562
1,155,4,"low","low",300,3000,-5,0.00669285092428486,0.048,0.04,0.0633333333333333,1794,0.0440356744704571
1,156,4,"low","low",300,3000,-5,0.00669285092428486,0.0473333333333333,0.0333333333333333,0.0633333333333333,1791,0.0435510887772194
1,157,4,"low","low",300,3000,-5,0.00669285092428486,0.046,0.0333333333333333,0.0633333333333333,1823,0.0438837081733406
1,158,4,"low","low",300,3000,-5,0.00669285092428486,0.047,0.0333333333333333,0.0633333333333333,1833,0.0452809601745772
1,159,4,"low","low",300,3000,-5,0.00669285092428486,0.047,0.0333333333333333,0.0633333333333333,1839,0.0467645459488853
1,160,4,"low","low",300,3000,-5,0.00669285092428486,0.0446666666666667,0.0233333333333333,0.0633333333333333,1827,0.0437876299945265
1,161,4,"low","low",300,3000,-5,0.00669285092428486,0.0443333333333333,0.0233333333333333,0.0633333333333333,1847,0.0427720628045479
1,162,4,"low","low",300,3000,-5,0.00669285092428486,0.0426666666666667,0.0233333333333333,0.0633333333333333,1860,0.0413978494623656
1,163,4,"low","low",300,3000,-5,0.00669285092428486,0.0416666666666667,0.0233333333333333,0.0633333333333333,1853,0.0393955747436589
1,164,4,"low","low",300,3000,-5,0.00669285092428486,0.0393333333333333,0.0233333333333333,0.0633333333333333,1833,0.0365521003818876
1,165,4,"low","low",300,3000,-5,0.00669285092428486,0.0376666666666667,0.0233333333333333,0.05,1836,0.0343137254901961
1,166,4,"low","low",300,3000,-5,0.00669285092428486,0.0386666666666667,0.0233333333333333,0.05,1837,0.035383777898748
1,167,4,"low","low",300,3000,-5,0.00669285092428486,0.037,0.0233333333333333,0.05,1816,0.0346916299559471
1,168,4,"low","low",300,3000,-5,0.00669285092428486,0.036,0.0233333333333333,0.05,1807,0.0332042058660764
1,169,4,"low","low",300,3000,-5,0.00669285092428486,0.0386666666666667,0.0233333333333333,0.07,1804,0.0343680709534368
1,170,4,"low","low",300,3000,-5,0.00669285092428486,0.042,0.0233333333333333,0.07,1805,0.0354570637119114
1,171,4,"low","low",300,3000,-5,0.00669285092428486,0.042,0.0233333333333333,0.07,1782,0.037037037037037
1,172,4,"low","low",300,3000,-5,0.00669285092428486,0.044,0.0233333333333333,0.07,1770,0.0389830508474576
1,173,4,"low","low",300,3000,-5,0.00669285092428486,0.0413333333333333,0.0233333333333333,0.07,1760,0.0363636363636364
1,174,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0233333333333333,0.07,1749,0.0377358490566038
1,175,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0233333333333333,0.07,1754,0.0376282782212087
1,176,4,"low","low",300,3000,-5,0.00669285092428486,0.0426666666666667,0.0233333333333333,0.07,1751,0.0354083380925186
1,177,4,"low","low",300,3000,-5,0.00669285092428486,0.044,0.0233333333333333,0.07,1750,0.0354285714285714
1,178,4,"low","low",300,3000,-5,0.00669285092428486,0.0446666666666667,0.0233333333333333,0.07,1744,0.0349770642201835
1,179,4,"low","low",300,3000,-5,0.00669285092428486,0.0403333333333333,0.0233333333333333,0.0566666666666667,1730,0.0317919075144509
1,180,4,"low","low",300,3000,-5,0.00669285092428486,0.0393333333333333,0.0233333333333333,0.0466666666666667,1717,0.0326150262085032
1,181,4,"low","low",300,3000,-5,0.00669285092428486,0.0406666666666667,0.0233333333333333,0.05,1722,0.0331010452961672
1,182,4,"low","low",300,3000,-5,0.00669285092428486,0.0413333333333333,0.0233333333333333,0.05,1739,0.0350776308223117
1,183,4,"low","low",300,3000,-5,0.00669285092428486,0.042,0.0266666666666667,0.05,1745,0.0349570200573066
1,184,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0266666666666667,0.05,1766,0.036806342015855
1,185,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0266666666666667,0.05,1750,0.0377142857142857
1,186,4,"low","low",300,3000,-5,0.00669285092428486,0.0433333333333333,0.0266666666666667,0.05,1752,0.0416666666666667
1,187,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0266666666666667,0.05,1753,0.0422133485453508
1,188,4,"low","low",300,3000,-5,0.00669285092428486,0.0426666666666667,0.0266666666666667,0.05,1756,0.0449886104783599
1,189,4,"low","low",300,3000,-5,0.00669285092428486,0.0446666666666667,0.03,0.05,1770,0.0457627118644068
1,190,4,"low","low",300,3000,-5,0.00669285092428486,0.0456666666666667,0.03,0.0566666666666667,1770,0.0451977401129944
1,191,4,"low","low",300,3000,-5,0.00669285092428486,0.0443333333333333,0.03,0.0566666666666667,1770,0.0451977401129944
1,192,4,"low","low",300,3000,-5,0.00669285092428486,0.0453333333333333,0.03,0.06,1770,0.0468926553672316
1,193,4,"low","low",300,3000,-5,0.00669285092428486,0.044,0.0166666666666667,0.06,1758,0.0472127417519909
1,194,4,"low","low",300,3000,-5,0.00669285092428486,0.0423333333333333,0.0166666666666667,0.06,1748,0.0440503432494279
1,195,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.0166666666666667,0.06,1747,0.04350314825415
1,196,4,"low","low",300,3000,-5,0.00669285092428486,0.0413333333333333,0.0166666666666667,0.06,1742,0.0430539609644087
1,197,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.0166666666666667,0.06,1743,0.0418818129661503
