"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","initiation_scenario","n_sites","n_per_site","total_n","init_intercept","zero_cov_init_prob","mean_est","median_est","truth","bias","median_bias","emp_sd","rmse","coverage","mean_observed_init_rate","mean_min_site_init_rate","mean_max_site_init_rate","mean_landmark_n","mean_landmark_treated_rate","n_reps"
"fed_perprotocol_naive","RMST_diff",8,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,-0.17813252879907,-0.225079077920413,1.13643585821513,-1.3145683870142,-1.36151493613554,0.633845117694217,1.3145683870142,NA,0.0588822222222222,0.0398111111111111,0.0791333333333333,1208.72,0.0596162670504002,300
"local_ccw_meta","RMST_diff",4,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,2.73282212261307,2.73733723682448,2.84353121803927,-0.110709095426207,-0.106193981214794,0.249737879352324,0.110709095426207,NA,0.606795333333333,0.583526666666667,0.6316,6736.90333333333,0.619209949593489,300
"local_ccw_meta","RMST_diff",6,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,2.44309475943287,2.48002231967624,2.6829365463258,-0.23984178689293,-0.202914226649563,0.366413344603604,0.23984178689293,NA,0.665664333333333,0.64223,0.688003333333333,5736.41666666667,0.691164952838322,300
"local_ccw_meta","RMST_diff",8,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,2.26658582401121,2.26823648505591,2.61164550344623,-0.345059679435023,-0.343409018390324,0.339195279810831,0.345059679435023,NA,0.700922333333333,0.679126666666667,0.72313,4985.12,0.738379274558101,300
"local_ccw_meta","RMST_diff",4,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,2.79201997029526,2.84984535790091,2.84353121803927,-0.0515112477440074,0.0063141398616402,0.466366481969545,0.0515112477440074,NA,0.607707777777778,0.561244444444444,0.648611111111111,2010.23,0.621731744630296,300
"local_ccw_meta","RMST_diff",6,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,2.1637657440382,2.18251310085166,2.6829365463258,-0.519170802287604,-0.50042344547414,0.517735998203768,0.519170802287604,NA,0.670456666666667,0.629466666666667,0.7134,1720.96666666667,0.695496087195759,300
"local_ccw_meta","RMST_diff",8,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,1.99856894479528,2.07360907898989,2.61164550344623,-0.613076558650947,-0.538036424456339,0.454947700026142,0.613076558650947,NA,0.701495555555556,0.659388888888889,0.7458,1501.08,0.738323474140332,300
"local_ccw_meta","RMST_diff",4,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,1.59345219905641,1.6246981408996,2.07204976682396,-0.478597567767547,-0.447351625924361,0.821508431059616,0.478597567767547,NA,0.042601,0.0335433333333333,0.0519566666666667,5956.41,0.0411334769112601,300
"local_ccw_meta","RMST_diff",6,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,1.29806434973054,1.24263764645108,1.5136877589414,-0.215623409210859,-0.271050112490317,0.530679926397811,0.215623409210859,NA,0.051551,0.04107,0.0622433333333333,4828.52333333333,0.0510128728262611,300
"local_ccw_meta","RMST_diff",8,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,0.888664569758194,0.914925058712021,1.13643585821513,-0.247771288456932,-0.221510799503105,0.510201839972708,0.247771288456932,NA,0.0588906666666667,0.04804,0.0700766666666667,4018.98,0.0607858937437258,300
