"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"CC-Gcomp","RD",8,-0.7,"small",0.4,25,"correct",-0.0777015787883198,-0.0698427863991118,-0.00785879238920795,0.00592596729766188,0.0098247918728847,NA,100
"CC-Gcomp","RD",8,-0.7,"small",0.4,25,"no_tv",-0.06725285510266,-0.0698427863991118,0.00258993129645176,0.00624963628545341,0.00673610557249451,NA,100
"CC-Gcomp","RD",8,-0.7,"small",0.4,25,"coarse_L",-0.0714651194602322,-0.0698427863991118,-0.00162233306112041,0.00608073136403134,0.00626398479751537,NA,100
"CC-Gcomp","RD",2,-0.5,"small",0.4,25,"correct",-0.0729845820715691,-0.0718312691569835,-0.00115331291458565,0.013922044965362,0.0139001882482337,NA,100
"CC-Gcomp","RD",2,-0.5,"small",0.4,25,"no_tv",-0.063204620662387,-0.0718312691569835,0.00862664849459647,0.0152856631174989,0.0174852522492977,NA,100
"CC-Gcomp","RD",2,-0.5,"small",0.4,25,"coarse_L",-0.0657600624341796,-0.0718312691569835,0.00607120672280385,0.0138060964948606,0.0150187139426839,NA,100
"CC-Gcomp","RD",5,-0.5,"small",0.4,25,"correct",-0.0611252536864628,-0.0569676227881472,-0.00415763089831564,0.00714804238396839,0.00823829226905718,NA,100
"CC-Gcomp","RD",5,-0.5,"small",0.4,25,"no_tv",-0.0483734058455072,-0.0569676227881472,0.00859421694263997,0.00859085406406359,0.0121212751256498,NA,100
"CC-Gcomp","RD",5,-0.5,"small",0.4,25,"coarse_L",-0.0545558633387081,-0.0569676227881472,0.00241175944943905,0.00743344022819777,0.00777946379462528,NA,100
"CC-Gcomp","RD",8,-0.5,"small",0.4,25,"correct",-0.0555665833394241,-0.0489632870192666,-0.00660329632015757,0.00521496800742555,0.00839806255615507,NA,100
"CC-Gcomp","RD",8,-0.5,"small",0.4,25,"no_tv",-0.0441231352494,-0.0489632870192666,0.00484015176986651,0.0056254263260987,0.00739973217705902,NA,100
"CC-Gcomp","RD",8,-0.5,"small",0.4,25,"coarse_L",-0.0494693326110802,-0.0489632870192666,-0.000506045591813626,0.00499551311435349,0.00499616672098869,NA,100
"CC-Gcomp","RD",2,-1,"medium",1,25,"correct",-0.161898667988221,-0.157561792455253,-0.00433687553296803,0.0143211505389906,0.0148947268730005,NA,100
"CC-Gcomp","RD",2,-1,"medium",1,25,"no_tv",-0.134611585899117,-0.157561792455253,0.0229502065561359,0.0149546965135816,0.0273517549584026,NA,100
"CC-Gcomp","RD",2,-1,"medium",1,25,"coarse_L",-0.143011029592247,-0.157561792455253,0.0145507628630056,0.0135636330826631,0.019845833841704,NA,100
"CC-Gcomp","RD",5,-1,"medium",1,25,"correct",-0.135326776855089,-0.123633070025923,-0.0116937068291663,0.00818680531183913,0.0142511867157899,NA,100
"CC-Gcomp","RD",5,-1,"medium",1,25,"no_tv",-0.106633366667627,-0.123633070025923,0.0169997033582957,0.0101361497097024,0.0197662345907908,NA,100
"CC-Gcomp","RD",5,-1,"medium",1,25,"coarse_L",-0.118027831702378,-0.123633070025923,0.00560523832354423,0.00908404483041779,0.0106354768788221,NA,100
"CC-Gcomp","RD",8,-1,"medium",1,25,"correct",-0.112796581165708,-0.107296828776202,-0.00549975238950572,0.00632562560495461,0.00835827017073453,NA,100
"CC-Gcomp","RD",8,-1,"medium",1,25,"no_tv",-0.0857779415705516,-0.107296828776202,0.0215188872056502,0.00782529460235592,0.0228841733481247,NA,100
"CC-Gcomp","RD",8,-1,"medium",1,25,"coarse_L",-0.0979542516942533,-0.107296828776202,0.00934257708194849,0.00679914520675718,0.0115347231574621,NA,100
"CC-Gcomp","RD",2,-0.7,"medium",1,25,"correct",-0.108010002254163,-0.103208945273067,-0.00480105698109515,0.0127691821703382,0.0135820337689911,NA,100
"CC-Gcomp","RD",2,-0.7,"medium",1,25,"no_tv",-0.0811142232538874,-0.103208945273067,0.0220947220191801,0.0129040690701029,0.0255543849404592,NA,100
"CC-Gcomp","RD",2,-0.7,"medium",1,25,"coarse_L",-0.0908534698500717,-0.103208945273067,0.0123554754229958,0.0123222407787861,0.0174062349335096,NA,100
"CC-Gcomp","RD",5,-0.7,"medium",1,25,"correct",-0.0900768164925481,-0.0831784790995589,-0.00689833739298924,0.00770216628559505,0.0103110227729145,NA,100
"CC-Gcomp","RD",5,-0.7,"medium",1,25,"no_tv",-0.0598311566388852,-0.0831784790995589,0.0233473224606737,0.00985219344296464,0.0253217796484351,NA,100
"CC-Gcomp","RD",5,-0.7,"medium",1,25,"coarse_L",-0.0735379804296006,-0.0831784790995589,0.0096404986699583,0.0082760333235944,0.0126786046118246,NA,100
"CC-Gcomp","RD",8,-0.7,"medium",1,25,"correct",-0.0771022128750854,-0.0730403093091784,-0.00406190356590701,0.00581396624990995,0.00706846815783088,NA,100
"CC-Gcomp","RD",8,-0.7,"medium",1,25,"no_tv",-0.0472393987788503,-0.0730403093091784,0.0258009105303281,0.0075093935117522,0.0268610138527793,NA,100
"CC-Gcomp","RD",8,-0.7,"medium",1,25,"coarse_L",-0.062750419521655,-0.0730403093091784,0.0102898897875234,0.00629020613236829,0.0120437891917446,NA,100
"CC-Gcomp","RD",2,-0.5,"medium",1,25,"correct",-0.0740272273341314,-0.0704769067816117,-0.00355032055251973,0.010014007087884,0.0105774434814029,NA,100
"CC-Gcomp","RD",2,-0.5,"medium",1,25,"no_tv",-0.0476233352567047,-0.0704769067816117,0.0228535715249069,0.0112353991720982,0.025441257517168,NA,100
"CC-Gcomp","RD",2,-0.5,"medium",1,25,"coarse_L",-0.0581443872060505,-0.0704769067816117,0.0123325195755611,0.00953584814690045,0.0155600165476627,NA,100
"CC-Gcomp","RD",5,-0.5,"medium",1,25,"correct",-0.0641375752989994,-0.057593918015868,-0.00654365728313137,0.00680390215810204,0.00941539188617944,NA,100
"CC-Gcomp","RD",5,-0.5,"medium",1,25,"no_tv",-0.0320457520997108,-0.057593918015868,0.0255481659161572,0.00874070147717285,0.0269878610743685,NA,100
"CC-Gcomp","RD",5,-0.5,"medium",1,25,"coarse_L",-0.0483194639908491,-0.057593918015868,0.00927445402501891,0.00724429098631989,0.0117460824038366,NA,100
"CC-Gcomp","RD",8,-0.5,"medium",1,25,"correct",-0.0543267486093855,-0.0512113647691539,-0.00311538384023163,0.00580147959017722,0.00655943673289611,NA,100
"CC-Gcomp","RD",8,-0.5,"medium",1,25,"no_tv",-0.022402529094824,-0.0512113647691539,0.0288088356743299,0.00669172791359145,0.0295682336833871,NA,100
"CC-Gcomp","RD",8,-0.5,"medium",1,25,"coarse_L",-0.0397375263651266,-0.0512113647691539,0.0114738384040273,0.00584288509627652,0.0128626156324263,NA,100
"CC-Gcomp","RD",2,-1,"strong",2,25,"correct",-0.163027538981705,-0.158281734212093,-0.00474580476961212,0.00906809960889895,0.0101946451200136,NA,100
"CC-Gcomp","RD",2,-1,"strong",2,25,"no_tv",-0.122385733389162,-0.158281734212093,0.0358960008229309,0.0114583747919578,0.0376630360489446,NA,100
"CC-Gcomp","RD",2,-1,"strong",2,25,"coarse_L",-0.13919264547262,-0.158281734212093,0.0190890887394723,0.0100010314950002,0.0215270465591031,NA,100
"CC-Gcomp","RD",5,-1,"strong",2,25,"correct",-0.135216631065248,-0.129431014759885,-0.00578561630536287,0.00714268200495782,0.00916411933546206,NA,100
"CC-Gcomp","RD",5,-1,"strong",2,25,"no_tv",-0.0889620125814521,-0.129431014759885,0.040469002178433,0.0100547070565612,0.0416872438519428,NA,100
"CC-Gcomp","RD",5,-1,"strong",2,25,"coarse_L",-0.114713809076924,-0.129431014759885,0.0147172056829611,0.00806687601962816,0.0167636477815383,NA,100
"CC-Gcomp","RD",8,-1,"strong",2,25,"correct",-0.114478130549364,-0.111633512871676,-0.00284461767768837,0.00591583682679296,0.00653750746384619,NA,100
"CC-Gcomp","RD",8,-1,"strong",2,25,"no_tv",-0.066752206336908,-0.111633512871676,0.0448813065347681,0.00856507597150952,0.0456832419756038,NA,100
"CC-Gcomp","RD",8,-1,"strong",2,25,"coarse_L",-0.0951904360517471,-0.111633512871676,0.016443076819929,0.00676934283320719,0.017769089387913,NA,100
"CC-Gcomp","RD",2,-0.7,"strong",2,25,"correct",-0.109819213885879,-0.102744180069684,-0.00707503381619575,0.00935497541015934,0.0116917283912924,NA,100
"CC-Gcomp","RD",2,-0.7,"strong",2,25,"no_tv",-0.0655754939881605,-0.102744180069684,0.0371686860815231,0.0109993167037341,0.0387464365238451,NA,100
