"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"G-comp (no cloning)","RD",2,-0.5,"medium",1,25,-0.0740272273341314,-0.0704769067816117,-0.00355032055251973,0.010014007087884,0.0105774434814029,NA,100
"G-comp (no cloning)","RD",5,-0.5,"medium",1,25,-0.0641375752989994,-0.057593918015868,-0.00654365728313137,0.00680390215810204,0.00941539188617944,NA,100
"G-comp (no cloning)","RD",8,-0.5,"medium",1,25,-0.0543267486093855,-0.0512113647691539,-0.00311538384023163,0.00580147959017722,0.00655943673289611,NA,100
"G-comp (no cloning)","RD",2,-1,"strong",2,25,-0.163027538981705,-0.158281734212093,-0.00474580476961212,0.00906809960889895,0.0101946451200136,NA,100
"G-comp (no cloning)","RD",5,-1,"strong",2,25,-0.135216631065248,-0.129431014759885,-0.00578561630536287,0.00714268200495782,0.00916411933546206,NA,100
"G-comp (no cloning)","RD",8,-1,"strong",2,25,-0.114478130549364,-0.111633512871676,-0.00284461767768837,0.00591583682679296,0.00653750746384619,NA,100
"G-comp (no cloning)","RD",2,-0.7,"strong",2,25,-0.109819213885879,-0.102744180069684,-0.00707503381619575,0.00935497541015934,0.0116917283912924,NA,100
"G-comp (no cloning)","RD",5,-0.7,"strong",2,25,-0.0914248547530018,-0.0864289105015962,-0.00499594425140564,0.00742888396239537,0.0089216530262402,NA,100
"G-comp (no cloning)","RD",8,-0.7,"strong",2,25,-0.079479113082359,-0.073695298677964,-0.00578381440439504,0.00631591390615119,0.00854074761655573,NA,100
"G-comp (no cloning)","RD",2,-0.5,"strong",2,25,-0.0738042887319964,-0.0679421293508451,-0.00586215938115132,0.0106419151410856,0.0121030065232316,NA,100
"G-comp (no cloning)","RD",5,-0.5,"strong",2,25,-0.0601217601166889,-0.0592813176469181,-0.000840442469770725,0.00802646269723474,0.00803033037556949,NA,100
"G-comp (no cloning)","RD",8,-0.5,"strong",2,25,-0.0562912676117989,-0.0495488313631018,-0.00674243624869702,0.00594147587826237,0.00896708262611634,NA,100
"IPTW (no cloning)","RD",2,-1,"small",0.4,25,-0.157744487530333,-0.158884966736931,0.00114047920659829,0.0321517844093518,0.032010944395926,NA,100
"IPTW (no cloning)","RD",5,-1,"small",0.4,25,-0.115189581789405,-0.120971162827715,0.00578158103830996,0.0205779096978122,0.0212753976028309,NA,100
"IPTW (no cloning)","RD",8,-1,"small",0.4,25,-0.0876948808296353,-0.101768486263082,0.0140736054334469,0.0133789593534243,0.0193719631876359,NA,100
"IPTW (no cloning)","RD",2,-0.7,"small",0.4,25,-0.0990388599706453,-0.105367498999536,0.00632863902889101,0.0320764545462892,0.032537080675063,NA,100
"IPTW (no cloning)","RD",5,-0.7,"small",0.4,25,-0.0748688070855193,-0.0821353199189906,0.00726651283347129,0.0169063219008187,0.0183239649576985,NA,100
"IPTW (no cloning)","RD",8,-0.7,"small",0.4,25,-0.0529529154695267,-0.0698427863991118,0.0168898709295851,0.0130132900792548,0.0212819172425326,NA,100
"IPTW (no cloning)","RD",2,-0.5,"small",0.4,25,-0.0647567263957159,-0.0718312691569835,0.0070745427612675,0.0324959158209463,0.0330979433631851,NA,100
"IPTW (no cloning)","RD",5,-0.5,"small",0.4,25,-0.040688331206022,-0.0569676227881472,0.0162792915821252,0.0196399783955794,0.0254339693772107,NA,100
"IPTW (no cloning)","RD",8,-0.5,"small",0.4,25,-0.0256601862903923,-0.0489632870192666,0.0233031007288743,0.0142873662754896,0.0272969238252071,NA,100
"IPTW (no cloning)","RD",2,-1,"medium",1,25,-0.142792390461495,-0.157561792455253,0.0147694019937577,0.042403260518368,0.0447011339097334,NA,100
