"task_id","rep","tau","size_scenario","mix_scenario","total_n","site_sizes","site_weights","target_x1_mean","target_x2_prob","observed_x1_mean","observed_x1_sd","observed_x2_prob","site1_x1_mean","site1_x1_sd","site1_x2_prob","site2_x1_mean","site2_x1_sd","site2_x2_prob","site3_x1_mean","site3_x1_sd","site3_x2_prob","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,51,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0271429345552795,1.01541290851939,0.388,0.0090667788969548,1.00115119070143,0.4,-0.0705731661922345,1.0191240661327,0.364,-0.0199224163705588,1.02623052862517,0.4,0.844666666666667,0.83,0.858,0.106,0.094,0.116,909,676,0.743674367436744,0.104510451045105
1,52,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0688437527119941,1.0278144200342,0.398,-0.0705731661922345,1.0191240661327,0.364,-0.0199224163705588,1.02623052862517,0.4,-0.116035675573189,1.03780823529993,0.43,0.849333333333333,0.83,0.86,0.1,0.09,0.116,913,687,0.752464403066813,0.105147864184009
1,53,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0274338855541019,1.0149478045709,0.407333333333333,-0.0199224163705588,1.02623052862517,0.4,-0.116035675573189,1.03780823529993,0.43,0.0536564352814422,0.974566302670572,0.392,0.861333333333333,0.858,0.866,0.11,0.09,0.124,908,700,0.770925110132159,0.122246696035242
1,54,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00258635565471179,1.00749074969341,0.408,-0.116035675573189,1.03780823529993,0.43,0.0536564352814422,0.974566302670572,0.392,0.0546201733276114,1.00150408405458,0.402,0.862,0.86,0.866,0.105333333333333,0.09,0.124,917,710,0.774263904034896,0.116684841875682
1,55,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0510941498553311,0.978878885771818,0.395333333333333,0.0536564352814422,0.974566302670572,0.392,0.0546201733276114,1.00150408405458,0.402,0.0450058409569396,0.962084210880865,0.392,0.855333333333333,0.84,0.866,0.111333333333333,0.102,0.124,920,703,0.764130434782609,0.127173913043478
1,56,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0131499176090865,1.00672778476464,0.384,0.0546201733276114,1.00150408405458,0.402,0.0450058409569396,0.962084210880865,0.392,-0.0601762614572918,1.05253056991391,0.358,0.838,0.814,0.86,0.106,0.102,0.108,933,690,0.739549839228296,0.117899249732047
1,57,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0215079278518016,1.01016486372658,0.382,0.0450058409569396,0.962084210880865,0.392,-0.0601762614572918,1.05253056991391,0.358,0.079694204055757,1.01060925889049,0.396,0.833333333333333,0.814,0.846,0.108,0.108,0.108,930,680,0.731182795698925,0.113978494623656
1,58,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0045223441525544,1.00714843668684,0.38,-0.0601762614572918,1.05253056991391,0.358,0.079694204055757,1.01060925889049,0.396,-0.0330849750561285,0.952328779375402,0.386,0.826,0.814,0.846,0.108666666666667,0.108,0.11,930,669,0.719354838709677,0.108602150537634
1,59,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0178149296712141,0.99241955507602,0.399333333333333,0.079694204055757,1.01060925889049,0.396,-0.0330849750561285,0.952328779375402,0.386,0.00683556001401375,1.01184115577058,0.416,0.827333333333333,0.818,0.846,0.112,0.108,0.118,911,652,0.71569703622393,0.105378704720088
1,60,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0123105576897951,0.994622494492365,0.400666666666667,-0.0330849750561285,0.952328779375402,0.386,0.00683556001401375,1.01184115577058,0.416,-0.0106822580272706,1.01991750175088,0.4,0.825333333333333,0.818,0.84,0.108666666666667,0.098,0.118,934,672,0.71948608137045,0.101713062098501
1,61,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00512312573353262,0.998888063002553,0.405333333333333,0.00683556001401375,1.01184115577058,0.416,-0.0106822580272706,1.01991750175088,0.4,-0.0115226791873411,0.965951169057716,0.4,0.824,0.814,0.84,0.109333333333333,0.098,0.118,942,678,0.719745222929936,0.106157112526539
