"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Pooled CCW","OR",8,-0.7,"medium",1,25,0.630194337742953,0.66527345142489,-0.0350791136819368,0.0982758786806212,0.103885085858625,0.95,100
"Pooled CCW","OR",2,-0.5,"medium",1,25,0.715306037185349,0.666763929890905,0.0485421072944437,0.241459863492186,0.245104412855978,0.94,100
"Pooled CCW","OR",5,-0.5,"medium",1,25,0.721721150419896,0.714250496540489,0.00747065387940723,0.137455341199191,0.136970222257723,0.96,100
"Pooled CCW","OR",8,-0.5,"medium",1,25,0.736190831362375,0.749233666175105,-0.01304283481273,0.113281029731709,0.113465330916794,0.98,100
"Pooled CCW","OR",2,-1,"strong",2,25,0.557541710028935,0.445682873142494,0.111858836886441,0.227619654348365,0.25259651494983,0.9,100
"Pooled CCW","OR",5,-1,"strong",2,25,0.529594768332584,0.49302717169416,0.0365675966384238,0.207592841932953,0.209764223035036,0.84,100
"Pooled CCW","OR",8,-1,"strong",2,25,0.573499255467206,0.544638023400319,0.028861232066887,0.161036986747267,0.16280833119362,0.93,100
"Pooled CCW","OR",2,-0.7,"strong",2,25,0.832777863673681,0.571076837535732,0.261701026137948,0.548537625191611,0.605286723850771,0.79,100
"Pooled CCW","OR",5,-0.7,"strong",2,25,0.656136769182325,0.609288510137556,0.046848259044769,0.33532699484229,0.336919145954616,0.81,100
"Pooled CCW","OR",8,-0.7,"strong",2,25,0.706194288849279,0.656531839465181,0.0496624493840982,0.269766216063282,0.272969654164411,0.85,100
"Pooled CCW","OR",2,-0.5,"strong",2,25,0.886561053717948,0.689782906657282,0.196778147060667,0.698539405315602,0.722356814137943,0.84,100
"Pooled CCW","OR",5,-0.5,"strong",2,25,0.878516050440319,0.712947599381096,0.165568451059222,0.419312880818102,0.448862975846667,0.9,100
"Pooled CCW","OR",8,-0.5,"strong",2,25,0.741219211962459,0.753873563873397,-0.0126543519109385,0.277535928506179,0.276434553408135,0.93,100
"CC-Gcomp","OR",2,-1,"small",0.4,25,0.382040657472686,0.44064845161737,-0.0586077941446834,0.0279349076150418,0.064864697697067,NA,100
"CC-Gcomp","OR",5,-1,"small",0.4,25,0.451409968968933,0.517599903911689,-0.0661899349427556,0.0224988913203964,0.069873067753368,NA,100
"CC-Gcomp","OR",8,-1,"small",0.4,25,0.506774201398159,0.57558968224295,-0.0688154808447908,0.0215225881643475,0.0720705209303982,NA,100
"CC-Gcomp","OR",2,-0.7,"small",0.4,25,0.511921222390022,0.557741997348922,-0.0458207749589005,0.0434302986451092,0.0629831116239389,NA,100
"CC-Gcomp","OR",5,-0.7,"small",0.4,25,0.560839042822171,0.622333710255199,-0.0614946674330278,0.0311222982494593,0.0688513296643115,NA,100
"CC-Gcomp","OR",8,-0.7,"small",0.4,25,0.604288423706018,0.670712942262974,-0.0664245185569555,0.0267062220087664,0.0715423422636205,NA,100
"CC-Gcomp","OR",2,-0.5,"small",0.4,25,0.615923871288143,0.655040310660453,-0.0391164393723105,0.0490886031076062,0.0625754734274793,NA,100
"CC-Gcomp","OR",5,-0.5,"small",0.4,25,0.658769706487388,0.708533899301728,-0.04976419281434,0.0377839764015811,0.0623684813864415,NA,100
"CC-Gcomp","OR",8,-0.5,"small",0.4,25,0.69415668153605,0.747285735720708,-0.0531290541846575,0.0248212477791656,0.0585886490410716,NA,100
"CC-Gcomp","OR",2,-1,"medium",1,25,0.38158660911002,0.440902769278821,-0.0593161601688015,0.0274821897144836,0.0653155793142704,NA,100
"CC-Gcomp","OR",5,-1,"medium",1,25,0.448808131287481,0.51163390392311,-0.0628257726356289,0.0217853710614787,0.0664600186249386,NA,100
"CC-Gcomp","OR",8,-1,"medium",1,25,0.497090993064566,0.563907302704039,-0.0668163096394729,0.0200609340147749,0.0697340368589659,NA,100
"CC-Gcomp","OR",2,-0.7,"medium",1,25,0.504604168879935,0.562734875449812,-0.0581307065698772,0.042234521243003,0.0717293265205563,NA,100
"CC-Gcomp","OR",5,-0.7,"medium",1,25,0.55922577665433,0.621600814394796,-0.0623750377404665,0.0261509571823917,0.0675846074862046,NA,100
"CC-Gcomp","OR",8,-0.7,"medium",1,25,0.602902152161742,0.66527345142489,-0.0623712992631478,0.0236394902147886,0.066658954495342,NA,100
