"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","outcome_scenario","n_sites","n_per_site","total_n","event_intercept","init_intercept","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_observed_death_rate","mean_min_site_death_rate","mean_max_site_death_rate","mean_observed_init_rate","mean_landmark_n","mean_landmark_event_n","mean_landmark_event_rate","mean_landmark_treated_rate","n_reps"
"local_ccw_meta","OR",4,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.572781931404404,0.561414195155393,0.565233417328474,0.00754851407593068,-0.00381922217308034,0.079316327238423,0.0795430045035921,NA,0.0674393333333333,0.0510666666666667,0.08458,0.275262,4956.23666666667,293.433333333333,0.059204311502672,0.274832179691644,300
"local_ccw_meta","OR",6,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.654643700499388,0.636125714295957,0.588892190875553,0.0657515096238355,0.0472335234204047,0.136201300720806,0.15103714561257,NA,0.0626566666666667,0.04512,0.0810733333333333,0.365666,4932.87666666667,246.16,0.049902764821515,0.364770776629118,300
"local_ccw_meta","OR",8,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.695792338754953,0.695504124844722,0.625799445771276,0.0699928929836774,0.0697046790734465,0.120546353847726,0.139219217122203,NA,0.0606946666666667,0.0436666666666667,0.0790733333333333,0.433404,4905.93333333333,209.406666666667,0.0426846609272303,0.432268742241349,300
"local_ccw_meta","OR",4,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.685064005483655,0.65855514693085,0.565233417328474,0.119830588155181,0.093321729602376,0.241788765876799,0.269492679809356,NA,0.06893,0.0324,0.1067,0.278816666666667,990.566666666667,59.4966666666667,0.0600637569699212,0.277626205150898,300
"local_ccw_meta","OR",6,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.773091027112177,0.707231643417774,0.588892190875553,0.184198836236625,0.118339452542221,0.279715081903537,0.334527930909237,NA,0.06274,0.0297666666666667,0.1051,0.36521,986.276666666667,49.0166666666667,0.0496955991149219,0.364436333420635,300
"local_ccw_meta","OR",8,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.785649863014572,0.760534371653475,0.625799445771276,0.159850417243297,0.1347349258822,0.238012344391407,0.286379466888383,NA,0.0640033333333333,0.0289333333333333,0.103533333333333,0.436016666666667,980.373333333333,44.3766666666667,0.0452636006781888,0.434662604135091,300
"pooled_ccw_tvipcw","OR",4,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.63123854200946,0.622618778030478,0.582633042898775,0.0486054991106852,0.0399857351317026,0.068646645131566,0.0840187393303338,0.903333333333333,0.743688,0.70956,0.774646666666667,0.235289333333333,3602.80333333333,2321.24333333333,0.644278204237654,0.235365834666581,300
"pooled_ccw_tvipcw","OR",6,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.615684936192986,0.617896930295402,0.61567051638454,1.44198084453787e-05,0.00222641391086159,0.0633573954406742,0.0632517132819348,0.93,0.738585333333333,0.70724,0.76812,0.284996,3120.55333333333,1813.48,0.581137505205074,0.291088024585598,300
"pooled_ccw_tvipcw","OR",8,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.658581636593646,0.64893976515632,0.640764528153496,0.0178171084401497,0.00817523700282397,0.0730652705320994,0.0750878685179603,0.916666666666667,0.736172666666667,0.70202,0.7663,0.316197333333333,2758.8,1439.66333333333,0.521854847817825,0.328205901309744,300
"pooled_ccw_tvipcw","OR",4,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.616241329230585,0.594150014374596,0.582633042898775,0.0336082863318097,0.0115169714758208,0.176300443333508,0.179186375250334,0.9,0.747856666666667,0.674466666666667,0.8127,0.234956666666667,718.236666666667,466.093333333333,0.648951717977514,0.234844424464582,300
"pooled_ccw_tvipcw","OR",6,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.611160485923768,0.585352387267901,0.61567051638454,-0.00451003046077258,-0.0303181291166388,0.156172532957115,0.155977244787493,0.916666666666667,0.74083,0.6658,0.8138,0.280433333333333,618.436666666667,359.266666666667,0.580998000011258,0.285968866882874,300
"pooled_ccw_tvipcw","OR",8,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.697356782219853,0.669657111690953,0.640764528153496,0.0565922540663563,0.0288925835374564,0.16828021402392,0.17727526491535,0.913333333333333,0.735933333333333,0.665,0.7994,0.31839,554.226666666667,290.16,0.523409018076687,0.333834966688967,300
