"task_id","rep","tau","sample_size_scenario","outcome_scenario","n_per_site","total_n","event_intercept","init_intercept","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,164,4,"low","rare",100,1000,-7,-3,0.076,0.05,0.11,0.281,0.22,0.33,992,68,0.0685483870967742,0.277217741935484
1,165,4,"low","rare",100,1000,-7,-3,0.077,0.05,0.11,0.273,0.22,0.33,991,68,0.0686175580221998,0.269424823410696
1,166,4,"low","rare",100,1000,-7,-3,0.077,0.05,0.11,0.282,0.22,0.33,992,69,0.0695564516129032,0.279233870967742
1,167,4,"low","rare",100,1000,-7,-3,0.071,0.05,0.1,0.283,0.22,0.33,991,62,0.0625630676084763,0.280524722502523
1,168,4,"low","rare",100,1000,-7,-3,0.071,0.05,0.1,0.279,0.22,0.33,992,63,0.063508064516129,0.277217741935484
1,169,4,"low","rare",100,1000,-7,-3,0.066,0.05,0.09,0.28,0.22,0.33,996,62,0.0622489959839357,0.279116465863454
1,170,4,"low","rare",100,1000,-7,-3,0.062,0.04,0.09,0.271,0.22,0.32,996,58,0.0582329317269076,0.270080321285141
1,171,4,"low","rare",100,1000,-7,-3,0.063,0.04,0.09,0.278,0.22,0.38,997,60,0.0601805416248746,0.277833500501505
1,172,4,"low","rare",100,1000,-7,-3,0.062,0.04,0.09,0.278,0.22,0.38,996,58,0.0582329317269076,0.278112449799197
1,173,4,"low","rare",100,1000,-7,-3,0.061,0.04,0.09,0.282,0.22,0.38,994,55,0.0553319919517103,0.282696177062374
1,174,4,"low","rare",100,1000,-7,-3,0.059,0.04,0.09,0.283,0.23,0.38,992,51,0.0514112903225806,0.284274193548387
1,175,4,"low","rare",100,1000,-7,-3,0.062,0.04,0.1,0.281,0.23,0.38,992,54,0.0544354838709677,0.282258064516129
1,176,4,"low","rare",100,1000,-7,-3,0.064,0.04,0.1,0.278,0.23,0.38,989,53,0.0535894843276036,0.27906976744186
1,177,4,"low","rare",100,1000,-7,-3,0.066,0.04,0.1,0.286,0.23,0.38,990,56,0.0565656565656566,0.286868686868687
1,178,4,"low","rare",100,1000,-7,-3,0.063,0.04,0.1,0.285,0.23,0.38,990,53,0.0535353535353535,0.285858585858586
1,179,4,"low","rare",100,1000,-7,-3,0.065,0.04,0.1,0.285,0.23,0.38,989,54,0.0546006066734075,0.286147623862487
1,180,4,"low","rare",100,1000,-7,-3,0.068,0.04,0.1,0.283,0.22,0.38,987,55,0.0557244174265451,0.283687943262411
1,181,4,"low","rare",100,1000,-7,-3,0.069,0.04,0.1,0.273,0.22,0.34,986,55,0.0557809330628803,0.272819472616633
1,182,4,"low","rare",100,1000,-7,-3,0.067,0.04,0.1,0.273,0.22,0.34,988,55,0.055668016194332,0.273279352226721
1,183,4,"low","rare",100,1000,-7,-3,0.067,0.04,0.1,0.26,0.21,0.32,990,57,0.0575757575757576,0.25959595959596
1,184,4,"low","rare",100,1000,-7,-3,0.071,0.05,0.1,0.268,0.21,0.32,989,60,0.0606673407482305,0.267947421638018
1,185,4,"low","rare",100,1000,-7,-3,0.067,0.05,0.09,0.271,0.21,0.32,990,57,0.0575757575757576,0.270707070707071
1,186,4,"low","rare",100,1000,-7,-3,0.066,0.05,0.08,0.272,0.21,0.32,993,59,0.0594159113796576,0.27190332326284
1,187,4,"low","rare",100,1000,-7,-3,0.07,0.05,0.11,0.274,0.21,0.34,990,60,0.0606060606060606,0.272727272727273
1,188,4,"low","rare",100,1000,-7,-3,0.071,0.05,0.11,0.278,0.21,0.34,989,60,0.0606673407482305,0.276036400404449
1,189,4,"low","rare",100,1000,-7,-3,0.073,0.05,0.11,0.268,0.21,0.34,989,62,0.0626895854398382,0.26592517694641
1,190,4,"low","rare",100,1000,-7,-3,0.071,0.05,0.11,0.275,0.21,0.34,990,61,0.0616161616161616,0.273737373737374
1,191,4,"low","rare",100,1000,-7,-3,0.072,0.05,0.11,0.271,0.21,0.34,990,62,0.0626262626262626,0.270707070707071
1,192,4,"low","rare",100,1000,-7,-3,0.073,0.05,0.11,0.277,0.21,0.34,987,60,0.060790273556231,0.276595744680851
1,193,4,"low","rare",100,1000,-7,-3,0.076,0.05,0.11,0.285,0.22,0.34,985,61,0.0619289340101523,0.285279187817259
1,194,4,"low","rare",100,1000,-7,-3,0.075,0.05,0.11,0.292,0.22,0.38,988,63,0.0637651821862348,0.291497975708502
1,195,4,"low","rare",100,1000,-7,-3,0.076,0.05,0.11,0.29,0.22,0.38,986,62,0.0628803245436105,0.290060851926978
1,196,4,"low","rare",100,1000,-7,-3,0.078,0.05,0.11,0.288,0.22,0.38,985,63,0.0639593908629442,0.287309644670051
