"task_id","rep","estimand","fragmentation","initiation","n_sites","n_per_site","empty_g1_at_tstar","truth","fed_estimate","fed_bias","local_estimate","local_bias","local_minus_fed","absolute_bias_gap","empty_g1_fraction"
1,55,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0767842738894202,0.012221892494631,-0.0762927665434174,0.0127133998406338,0.000491507346002784,0.000491507346002784,0
1,55,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.63190876485122,-0.295660713728054,1.62101983711029,-0.306549641468987,-0.0108889277409325,0.0108889277409325,0
1,56,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0792492045033123,0.00975696188073893,-0.0788288731829846,0.0101772932010666,0.000420331320327705,0.000420331320327705,0
1,56,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.61329816571644,-0.314271312862834,1.60352805326465,-0.324041425314624,-0.00977011245178971,0.00977011245178971,0
1,57,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0850544243595169,0.0039517420245343,-0.0845247797858247,0.0044813865982265,0.000529644573692201,0.000529644573692201,0
1,57,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.65669427043936,-0.270875208139911,1.64619172479562,-0.281377753783651,-0.0105025456437406,0.0105025456437406,0
1,58,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0925433237428555,-0.00353715735880422,-0.09227925142681,-0.00327308504275881,0.000264072316045416,-0.000264072316045416,0
1,58,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.74200057816571,-0.185568900413566,1.73557185343928,-0.191997625139992,-0.00642872472642608,0.00642872472642608,0
1,59,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0914803572136363,-0.00247419082958511,-0.0911815921045046,-0.00217542572045337,0.000298765109131738,-0.000298765109131738,0
1,59,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.73530762431637,-0.192261854262906,1.72846890358686,-0.199100574992416,-0.00683872072950997,0.00683872072950997,0
1,60,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0952424687885775,-0.00623630240452622,-0.0949550043069441,-0.00594883792289291,0.000287464481633304,-0.000287464481633304,0
1,60,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.78941574324548,-0.138153735333789,1.78289336214359,-0.144676116435681,-0.00652238110189174,0.00652238110189174,0
