"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Pooled CCW","RD",3,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.139161821892459,-0.146989280744022,0.093482719457198,0.00782745885156311,0.0936237350390751,0.87,100
"Pooled CCW","RD",6,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.124891695836277,-0.124887284393515,0.0795678212738634,-4.41144276207492e-06,0.0799686691351122,0.86,100
"Pooled CCW","RD",9,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0907704131362492,-0.108579816052468,0.0588536822775817,0.0178094029162188,0.0563769876166292,0.86,100
"Pooled CCW","RD",3,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.130505966063233,-0.0973733428414895,0.155475789680842,-0.0331326232217438,0.15266967859715,0.83,100
"Pooled CCW","RD",6,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0740078188018682,-0.0850755560904202,0.0653827053631312,0.011067737288552,0.064763777068009,0.89,100
"Pooled CCW","RD",9,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0884979418301277,-0.0732213723376015,0.0723516333206891,-0.0152765694925262,0.0710767494461428,0.91,100
"Pooled CCW","RD",3,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0667216495014825,-0.0665056112907388,0.134010739780149,-0.000216038210743681,0.134685686115332,0.69,100
"Pooled CCW","RD",6,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0633501588864568,-0.0595574571296151,0.0692366580349577,-0.00379270175684167,0.0694809779159366,0.87,100
"Pooled CCW","RD",9,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0365109116999682,-0.0503766543423977,0.06591557647807,0.0138657426424295,0.064765344918672,0.83,100
"Federated IPW (no cloning)","RD",3,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.134485092722689,-0.144325121699538,0.0868915531987978,0.00984002897684867,0.0867675161894773,NA,100
"Federated IPW (no cloning)","RD",6,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0617603475564431,-0.11753671793992,0.0765704367619499,0.055776370383477,0.0527240605259534,NA,100
"Federated IPW (no cloning)","RD",9,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0589489187479253,-0.104305359560479,0.0878936565314266,0.0453564408125537,0.075665986749593,NA,100
"Federated IPW (no cloning)","RD",3,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0835246720457372,-0.0957341062643613,0.0880969564894497,0.0122094342186241,0.0876863295080311,NA,100
