"task_id","rep","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","observed_init_rate","observed_death_rate","zero_initiation_sites","mean_initiators_per_site","min_initiators_per_site","max_initiators_per_site","empty_g1_at_tau","empty_g1_at_tstar","empty_g0_at_tstar","any_post_tau_empty_g1","fit_warning_count"
1,118,"10_sites_x_500","moderate",-2.5,10,500,5000,0.217,0.8196,0,108.5,99,122,0,0,0,0,0
1,119,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2202,0.8178,0,110.1,99,122,0,0,0,0,0
1,120,"10_sites_x_500","moderate",-2.5,10,500,5000,0.227,0.8116,0,113.5,99,133,0,0,0,0,0
1,121,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2288,0.8118,0,114.4,99,133,0,0,0,0,0
1,122,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2294,0.8132,0,114.7,99,133,0,0,0,0,0
1,123,"10_sites_x_500","moderate",-2.5,10,500,5000,0.232,0.8134,0,116,99,133,0,0,0,0,0
1,124,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2352,0.8144,0,117.6,99,133,0,0,0,0,0
1,125,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2348,0.8154,0,117.4,99,133,0,0,0,0,0
1,126,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2354,0.8102,0,117.7,99,133,0,0,0,0,0
1,127,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2382,0.8154,0,119.1,102,133,0,0,0,0,0
1,128,"10_sites_x_500","moderate",-2.5,10,500,5000,0.234,0.8174,0,117,99,133,0,0,0,0,0
1,129,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2314,0.8226,0,115.7,99,133,0,0,0,0,0
1,130,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2272,0.8228,0,113.6,99,125,0,0,0,0,0
1,131,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2288,0.8198,0,114.4,99,125,0,0,0,0,0
1,132,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2282,0.8176,0,114.1,99,125,0,0,0,0,0
1,133,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2278,0.8168,0,113.9,99,125,0,0,0,0,0
1,134,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2252,0.8182,0,112.6,99,125,0,0,0,0,0
1,135,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2284,0.8172,0,114.2,99,125,0,0,0,0,0
1,136,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2252,0.8208,0,112.6,99,123,0,0,0,0,0
