"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",15,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0757710323975363,-0.0881130651555558,0.0694821750873778,0.0123420327580195,0.0684914872693502,0.816666666666667,300
"Federated CCW","RD",5,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0615838820200693,-0.0847694490680255,0.0977214620699099,0.0231855670479562,0.0950897145284876,0.756666666666667,300
"Federated CCW","RD",10,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0621114895630872,-0.067709444659072,0.0861968369326306,0.00559795509598485,0.0861585859663422,0.796666666666667,300
"Federated CCW","RD",15,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0425315964107781,-0.0576084658107525,0.0745332540696272,0.0150768693999744,0.0731143830903743,0.783333333333333,300
"Federated CCW","RD",5,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0372427036436337,-0.0600263039356883,0.0920016007760931,0.0227836002920546,0.0892847953762571,0.736666666666667,300
"Federated CCW","RD",10,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0341159709910331,-0.0481119942026683,0.079640618886759,0.0139960232116353,0.0785321409879581,0.793333333333333,300
"Federated CCW","RD",15,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0160431866113836,-0.0416815054083366,0.0706777018872422,0.025638318796953,0.0659736505119069,0.773333333333333,300
"Pooled CCW","RD",5,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.127164258976903,-0.122261951926669,0.0659105722250392,-0.0049023070502339,0.0658378284026739,0.923333333333333,300
"Pooled CCW","RD",10,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0936051217374794,-0.0967781265780999,0.048107581567746,0.00317300484062057,0.048083032745854,0.906666666666667,300
"Pooled CCW","RD",15,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0806558249523616,-0.08239526142237,0.0388877940202365,0.00173943647000835,0.0389137828132475,0.9,300
"Pooled CCW","RD",5,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0785580571884662,-0.0828864836809106,0.0581046064421355,0.00432842649244433,0.058039975964227,0.913333333333333,300
"Pooled CCW","RD",10,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.061809934809664,-0.0666259040833148,0.047161673861206,0.00481596927365078,0.0469935232285341,0.913333333333333,300
