"model","heterogeneity","replicate","tau","site","interval","eligible_n","initiations","observed_initiation_rate","common_numerator_hazard","denominator_mean","denominator_min","denominator_q01","denominator_q05","denominator_q50","denominator_q95","denominator_q99","denominator_max","prop_den_lt_001","prop_den_gt_099","observed_prob_min","observed_prob_q01","observed_prob_q05","prop_observed_prob_lt_001","prop_observed_prob_lt_005"
"Pooled site FE: shared slopes","moderate",3,15,"Overall",15,924,20,0.0216450216450216,0.0216450216450216,0.0216450216737776,0.000176834131262901,0.000311732254940643,0.000844409099970406,0.009314046135395,0.0838070516317213,0.17966157852604,0.342249738246941,0.517316017316017,0,0.00539094876656255,0.0399888228766504,0.894040522176923,0.00541125541125541,0.0108225108225108
"Pooled site FE: shared slopes","moderate",3,15,"1",15,262,2,0.00763358778625954,0.0216450216450216,0.00809884586244872,0.000186804910792044,0.000212510851106888,0.000453283401434195,0.0040603975448962,0.0263663083870779,0.072575451628027,0.0862355502687071,0.751908396946565,0,0.00844257727030476,0.874537572544509,0.964483219614576,0.00763358778625954,0.00763358778625954
"Pooled site FE: shared slopes","moderate",3,15,"2",15,228,3,0.0131578947368421,0.0216450216450216,0.0189602711696116,0.000176834131262901,0.000312376692452057,0.000931101443707494,0.00750400687882776,0.070331725373918,0.190980697997427,0.342249738246941,0.578947368421053,0,0.00573917723618444,0.0658677482338442,0.920741175075627,0.0043859649122807,0.0043859649122807
"Pooled site FE: shared slopes","moderate",3,15,"3",15,185,3,0.0162162162162162,0.0216450216450216,0.0245441792371092,0.00032295808192754,0.000645204107398153,0.00156030483809754,0.0143912090072267,0.0826778773200933,0.169448746329969,0.264168079388602,0.421621621621622,0,0.0153942056436772,0.0462424053774949,0.896437197450601,0,0.0108108108108108
"Pooled site FE: shared slopes","moderate",3,15,"4",15,149,5,0.0335570469798658,0.0216450216450216,0.0313235857737809,0.000638579747845516,0.000664627738203416,0.00133746348350454,0.0207112000029952,0.111533746461068,0.206051190020508,0.216345116960995,0.335570469798658,0,0.00786086917430369,0.0309082080402322,0.811256180122656,0.00671140939597315,0.0134228187919463
"Pooled site FE: shared slopes","moderate",3,15,"5",15,100,7,0.07,0.0216450216450216,0.0434727314477891,0.000209450603339073,0.00071405527871498,0.00320143345257657,0.0231817334092763,0.142738543364158,0.272896188107642,0.274047271498101,0.21,0,0.00539094876656255,0.00881392954476093,0.0997148899563061,0.01,0.03
"Federated: site-specific slopes","high",3,15,"1",1,400,2,0.005,0.2668,0.00500006749999986,1e-06,1e-06,1e-06,0.00382072563707922,0.0125281106635062,0.0235806333033302,0.0422798609620854,0.8875,0,0.00976592904897402,0.972100847824191,0.986818314244668,0.0025,0.005
"Federated: site-specific slopes","high",3,15,"1",2,380,0,0,0.164661177960735,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",3,370,0,0,0.104880136986301,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",4,366,0,0,0.0712799167533819,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",5,358,0,0,0.054678007290401,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",6,348,0,0,0.038915913829048,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",7,343,0,0,0.0368098159509202,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",8,337,1,0.0029673590504451,0.0329391891891892,0.00296741246290794,1e-06,1e-06,1e-06,0.00125649531583389,0.0116822056492154,0.0294324931261819,0.0580185239942331,0.934718100890208,0,0.00454569776250719,0.960018641773155,0.987930724046085,0.0029673590504451,0.0029673590504451
"Federated: site-specific slopes","high",3,15,"1",9,331,0,0,0.0311355311355311,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",10,327,0,0,0.0198412698412698,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",11,318,0,0,0.0168421052631579,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",12,316,2,0.00632911392405063,0.0230769230769231,0.00632916772151875,1e-06,1e-06,1e-06,0.00218419379344222,0.024307595075755,0.0710301265119745,0.113778490504426,0.819620253164557,0,0.00208991789377409,0.906301319888343,0.975610230830406,0.00316455696202532,0.00316455696202532
"Federated: site-specific slopes","high",3,15,"1",13,305,0,0,0.0117508813160987,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",14,303,0,0,0.0110837438423645,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1,0,0.999999,0.999999,0.999999,0,0
"Federated: site-specific slopes","high",3,15,"1",15,300,1,0.00333333333333333,0.0101781170483461,0.00333338999999993,1e-06,1e-06,1e-06,0.00148265203441307,0.0118316107804806,0.0271026793202016,0.0725724350321527,0.93,0,0.00572987648832939,0.946277157134325,0.987999110360143,0.00333333333333333,0.00333333333333333
