"model","heterogeneity","tau","site","strategy","interval","replicates","mean_risk_n","mean_weight","mean_q95","mean_q99","median_max","max_across_reps","mean_ess","mean_ess_fraction","p10_ess_fraction","mean_design_effect","mean_prop_weight_gt_10"
"Federated: site-specific slopes","high",10,"2","Do not initiate by tau",10,10,317.7,0.450435593122476,0.540356517535996,0.695507339188567,0.799334582566073,1.96804787947131,312.226995328311,0.982587274097136,0.96173877954517,1.01785243678658,0
"Federated: site-specific slopes","high",10,"2","Initiate by tau",10,10,40.2,6.20073868422824,29.7844091236797,78.245762899717,49.9229250549097,298.421091631221,9.70665547044518,0.24163130290374,0.0959519654442343,5.45623296999955,0.140938337372422
"Federated: site-specific slopes","high",10,"3","Do not initiate by tau",10,10,218.2,0.547702021405027,0.854751753274566,1.5193067256441,1.86814887184288,9.641116044544,183.058461417572,0.838499312223751,0.563722929376423,1.25095888933581,0
"Federated: site-specific slopes","high",10,"3","Initiate by tau",10,10,107.6,2.11545583955559,8.8116043055845,24.4658686783541,26.4138128477579,57.082369754601,24.4460613954593,0.229049506579969,0.14901901553931,4.63815025485157,0.0350275306165339
"Federated: site-specific slopes","high",10,"4","Do not initiate by tau",10,10,124,0.7886216188569,1.72649500700851,4.74033265383241,4.84845731022861,17.5931081202907,70.4388663852207,0.573593533312399,0.288396120903787,1.98200515786567,0.000719424460431655
"Federated: site-specific slopes","high",10,"4","Initiate by tau",10,10,190.3,1.12577805597634,3.83502488113101,8.63312211602566,14.7530013816817,52.9823757212349,58.8209668608319,0.308706231000342,0.138361103562463,3.85365119207771,0.00596388299311255
"Federated: site-specific slopes","high",10,"5","Do not initiate by tau",10,10,52.6,1.49240601500432,4.73359429084439,17.6350166841033,8.9844656145479,56.8616664001685,19.3822818631635,0.368114537141931,0.0921953921284713,4.11743228368674,0.0115804833561332
"Federated: site-specific slopes","high",10,"5","Initiate by tau",10,10,239,0.790574973877797,2.34582964071547,5.25328878183178,7.7221160938152,22.1322404253234,95.0953927406294,0.392921734771691,0.228090785928799,2.76798163241341,0.00221643625192012
"Federated: site-specific slopes","high",15,"1","Do not initiate by tau",15,10,279.3,0.387099333493474,0.412959558286489,0.456905328225087,0.509182206232987,0.751931717811093,278.731191019983,0.997955675353666,0.994562809860666,1.00205174937616,0
"Federated: site-specific slopes","high",15,"1","Initiate by tau",15,10,9.8,20.2153376321124,162.897813640377,163.752277637113,43.2484524789956,1012.12964602069,2.76553195566861,0.29951340257974,0.113596424289447,4.28979690318967,0.223815351315351
"Federated: site-specific slopes","high",15,"2","Do not initiate by tau",15,10,247.4,0.422818228942112,0.534544325884712,0.692041886254128,0.91532023670691,1.44662701057498,242.12244294507,0.978484590106854,0.962277105716314,1.02208797041198,0
"Federated: site-specific slopes","high",15,"2","Initiate by tau",15,10,44.5,5.15569001483823,28.0324575309208,70.6957542534979,66.9379309488366,134.249634276418,7.70768838504613,0.175235066144256,0.0944870651741766,6.65349716562175,0.114202219078141
"Federated: site-specific slopes","high",15,"3","Do not initiate by tau",15,10,152.5,0.516832352177667,0.847135098339799,1.392590524774,1.47600251631872,5.45421158310696,133.385901525441,0.875089005049488,0.690192527650616,1.16030102390636,0
"Federated: site-specific slopes","high",15,"3","Initiate by tau",15,10,90.6,2.20737844608043,8.86519319876788,32.5380380507128,32.8341740737987,77.1804170589905,18.0046645200678,0.199723561397263,0.0940594300475387,5.83579929389173,0.0361232045849597
"Federated: site-specific slopes","high",15,"4","Do not initiate by tau",15,10,68.7,0.896285352213228,1.83373828906877,10.8364291247877,4.02815526968087,43.094350724943,34.6785030193473,0.510356282514155,0.0817398688767697,4.02125353645302,0.00559691615379525
"Federated: site-specific slopes","high",15,"4","Initiate by tau",15,10,135.4,1.05716261870839,3.88681312467465,10.1337008932049,14.3932112487651,29.3155241433764,39.3726687851491,0.290706229586835,0.152836578425972,3.87727336186198,0.00650606676018839
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",15,10,31,1.24349336417671,3.79560080765794,6.97320420499034,5.63330172095878,14.9820734956108,15.0915455291259,0.487965063768756,0.276911745886378,2.24427568919448,0.0032258064516129
