"model","heterogeneity","tau","site","interval","replicates","mean_eligible_n","mean_observed_rate","mean_numerator_hazard","mean_denominator","mean_den_q01","mean_den_q99","mean_observed_prob_q01","min_observed_prob","mean_prop_observed_prob_lt_001","mean_prop_observed_prob_lt_005"
"Pooled site FE: shared slopes","low",10,"3",10,10,276.2,0.0341061017851126,0.0302086942841212,0.0306129131199693,0.00069716207310806,0.233715353648241,0.0452249064946843,0.00540315522195377,0.00149811891637435,0.012277713095582
"Pooled site FE: shared slopes","low",10,"4",1,10,1050,0.0947619047619048,0.08312,0.0947557652541709,0.00317889558849991,0.523642406023952,0.041655885931967,0.00493196797204245,0.000380952380952381,0.012
"Pooled site FE: shared slopes","low",10,"4",2,10,837,0.0884864411475689,0.0781703404094691,0.0905424324201913,0.00204983437282432,0.52957203440274,0.049388491620069,0.00350588876412663,0.000949159746074845,0.0107272508030816
"Pooled site FE: shared slopes","low",10,"4",3,10,671.8,0.079576415360393,0.068093576400369,0.078313794581137,0.00141267546942365,0.490295415672121,0.0427408524225293,0.00277605419655243,0.000893670675038484,0.0141662909510242
"Pooled site FE: shared slopes","low",10,"4",4,10,552.5,0.0676992938559416,0.0553961588343812,0.0653819910309917,0.00115992923572705,0.419877754124057,0.0402917005944541,0.00392384228477407,0.00107958868259207,0.0135741643373142
"Pooled site FE: shared slopes","low",10,"4",5,10,462.2,0.0544824917852815,0.0469735676750666,0.055344234647806,0.000935016249047786,0.363864292424456,0.0440975827431219,0.00398412627482476,0.00109508513554551,0.0119292269433854
"Pooled site FE: shared slopes","low",10,"4",6,10,400.4,0.049159960734228,0.0432533852209127,0.0510579693314269,0.000872614975889615,0.3410294906038,0.0417449367323039,0.00626027883210007,0.00125780567235246,0.0135002341727438
"Pooled site FE: shared slopes","low",10,"4",7,10,351.6,0.0392648408676029,0.0378997811041398,0.045103964662192,0.000793836253269119,0.317957665325296,0.0476737167871315,0.00128310591783837,0.00169615818679014,0.0132729382655576
"Pooled site FE: shared slopes","low",10,"4",8,10,312.3,0.0417421762495287,0.0336835353507466,0.0401296479926888,0.000699020163951983,0.277257203602151,0.0466297278817214,0.00230010162901858,0.00128813210234158,0.0143375340762592
"Pooled site FE: shared slopes","low",10,"4",9,10,276.5,0.0354299672727744,0.0288325049500883,0.033933059847233,0.000541035138595225,0.242889858660696,0.0519941952905194,0.00457494625525345,0.00181266734057764,0.0118607366490185
"Pooled site FE: shared slopes","low",10,"4",10,10,250.8,0.0320477256688416,0.0302086942841212,0.0355421183391606,0.000582753608722914,0.277912817442969,0.0645554844860573,0.00845799684524178,0.000416666666666667,0.00809965740083451
"Pooled site FE: shared slopes","low",10,"5",1,10,1100,0.121,0.08312,0.122241317554628,0.00390268690117624,0.608597035137759,0.0517700404722515,0.00336597707901362,0.000363636363636364,0.00954545454545455
"Pooled site FE: shared slopes","low",10,"5",2,10,841.8,0.110763698516007,0.0781703404094691,0.112741950108684,0.00230485832366552,0.590029905837824,0.0444884209944396,0.0025813963605229,0.0011912517748657,0.0116718008323449
"Pooled site FE: shared slopes","low",10,"5",3,10,653.5,0.100904680063057,0.068093576400369,0.0992183019846303,0.0018259753022047,0.576615697048152,0.0504288477855495,0.00471145294093165,0.00106006453720605,0.00961107377753781
"Pooled site FE: shared slopes","low",10,"5",4,10,522.2,0.0763570894406295,0.0553961588343812,0.0775043435418226,0.00133894837852108,0.468522522343653,0.0478779383026587,0.00496459169158869,0.000788184225443984,0.0109677443840126
"Pooled site FE: shared slopes","low",10,"5",5,10,432.1,0.0669632565335591,0.0469735676750666,0.064448819871768,0.00106661001094219,0.416441702341751,0.0455129422019795,0.00324698402308621,0.00113015206554722,0.0124840259490726
"Pooled site FE: shared slopes","low",10,"5",6,10,368.5,0.0612912509496534,0.0432533852209127,0.0587704511410109,0.00091449466746836,0.388534902651806,0.0515439680094602,0.00347830301359618,0.000537424976915974,0.00922390732027847
