"model","heterogeneity","replicate","tau","site","strategy","interval","risk_n","weight_sum","weight_mean","weight_sd","weight_cv","weight_min","weight_q01","weight_q05","weight_q50","weight_q95","weight_q99","weight_max","prop_weight_gt_5","prop_weight_gt_10","prop_weight_gt_20","ess","ess_fraction","design_effect"
"Federated: site-specific slopes","moderate",1,5,"2","Do not initiate by tau",1,755,687.669546920724,0.910820591947978,0.0943849524118769,0.103626282987317,0.858670239474486,0.859294916114515,0.860980280995174,0.882416927667469,1.04482392697258,1.25511073139941,2.30754115957351,0,0,0,746.989151290885,0.989389604358789,1.01072418347077
"Federated: site-specific slopes","moderate",1,5,"2","Do not initiate by tau",2,654,553.121583738699,0.845751657092812,0.12775291770411,0.151052518351839,0.773407294800047,0.774557223386356,0.77641287959436,0.807398881073972,1.04056575970302,1.55256183037516,2.03392997314022,0,0,0,639.432465474096,0.977725482376294,1.02278197513025
"Federated: site-specific slopes","moderate",1,5,"2","Do not initiate by tau",3,565,450.907634834741,0.798066610326975,0.156880839453672,0.196576122122684,0.712417305400661,0.713491003080822,0.716489157526412,0.752177001911999,1.00550231352907,1.35591620050396,2.73412862695872,0,0,0,544.015275237351,0.9628588942254,1.03857377856439
"Federated: site-specific slopes","moderate",1,5,"2","Do not initiate by tau",4,503,385.290607813514,0.765985303804203,0.159823729695554,0.208651169809398,0.67024087468328,0.671017071722959,0.674508291117474,0.714703070849328,1.01894975794024,1.45163140152746,2.67769491134256,0,0,0,482.05529547386,0.958360428377454,1.04344875934939
"Federated: site-specific slopes","moderate",1,5,"2","Do not initiate by tau",5,449,332.490869025172,0.740514184911298,0.207725361110605,0.280515033125918,0.634329950618761,0.635266667436046,0.638917335537178,0.684723676802387,1.01808642774875,1.56846722348849,3.81325126898104,0,0,0,416.313777143626,0.927202176266427,1.0785134306163
"Federated: site-specific slopes","moderate",1,5,"3","Initiate by tau",1,1000,986.942838579273,0.986942838579273,0.558785877053469,0.566178561929538,0.161261257710808,0.356809396721055,0.858995857524815,0.891839940636741,1.33123538830584,3.27258606572375,11.024754855171,0.004,0.001,0,757.439415138767,0.757439415138767,1.32023760582461
"Federated: site-specific slopes","moderate",1,5,"3","Initiate by tau",2,890,879.638282733091,0.988357621048418,0.847412378716999,0.857394490283883,0.168377264225995,0.2732134904329,0.493341103100521,0.822095667395925,1.694393168196,5.17670797887855,14.323932602457,0.0101123595505618,0.00224719101123596,0,513.175543222888,0.576601733958301,1.73429932847257
"Federated: site-specific slopes","moderate",1,5,"3","Initiate by tau",3,775,736.21843783313,0.949959274623393,0.791726264685277,0.833431796325324,0.19103616330099,0.291931905276289,0.448946797744547,0.769888444922712,1.7801411680934,5.54075481825234,11.024754855171,0.0116129032258065,0.00129032258064516,0,457.574763180108,0.590419049264655,1.69371229001751
"Federated: site-specific slopes","moderate",1,5,"3","Initiate by tau",4,688,630.10852934134,0.915855420554273,0.797675906932983,0.870962696765207,0.105588711851937,0.274039434607351,0.432219199527973,0.73613114705584,1.77213441635113,5.50074537875815,11.024754855171,0.0116279069767442,0.00145348837209302,0,391.471065922531,0.56899864232926,1.75747343773333
"Federated: site-specific slopes","moderate",1,5,"3","Initiate by tau",5,143,208.636595969718,1.45899717461341,1.67502029980502,1.14806274402063,0.105588711851937,0.119701532688975,0.278563902735378,0.860694443642736,5.64508004986224,7.8811257077602,11.024754855171,0.0629370629370629,0.00699300699300699,0,61.9361068064482,0.43311962801712,2.30883094487806
"Federated: site-specific slopes","moderate",1,5,"3","Do not initiate by tau",1,913,859.57061110279,0.941479311175015,0.154240791900518,0.163828126725395,0.858796999755635,0.859825201698398,0.862429238473073,0.892250190206222,1.19985557355364,1.72167312251259,2.75208881434989,0,0,0,889.161354769477,0.973889764260106,1.02681025789375
"Federated: site-specific slopes","moderate",1,5,"3","Do not initiate by tau",2,757,697.854004294797,0.921867905277143,0.562443853017959,0.610113281738419,0.774127901858799,0.775607567512384,0.779257743084854,0.825004189194726,1.22861207458702,2.32246712206067,14.323932602457,0.00132100396301189,0.00132100396301189,0,551.85123957275,0.728997674468626,1.37174648839437
"Federated: site-specific slopes","moderate",1,5,"3","Do not initiate by tau",3,633,533.308144727999,0.8425089174218,0.246822036214336,0.292960740367767,0.713623294247649,0.714778725232529,0.718905588144685,0.770385499455693,1.16304917166436,1.78417382886962,4.64265831056445,0,0,0,583.039137653006,0.921072887287529,1.08569040930616
"Federated: site-specific slopes","moderate",1,5,"3","Do not initiate by tau",4,545,436.425530344669,0.800780789623245,0.201706505963906,0.251887293723425,0.671340652439012,0.673184437235572,0.677983503708221,0.736715181053352,1.11445989296534,1.74718404682187,2.56616906560118,0,0,0,512.540409984388,0.94044111923741,1.06333079184254
"Federated: site-specific slopes","moderate",1,5,"3","Do not initiate by tau",5,488,378.867475771836,0.776367778220974,0.256315353908472,0.330146821002556,0.636721392457399,0.63767391304184,0.642378485458734,0.700298997103661,1.10829234117321,1.79979745943893,4.44117791836982,0,0,0,440.12593158287,0.901897400784569,1.10877356906683
"Federated: site-specific slopes","moderate",1,5,"4","Initiate by tau",1,1200,1178.8405109618,0.982367092468172,0.446600763938609,0.454616983165158,0.159934075683509,0.192638466296015,0.279695298663005,0.922319959918276,1.61440903658813,2.84210719362423,6.3523580969382,0.000833333333333333,0,0,994.608912294042,0.828840760245035,1.20650437088104
"Federated: site-specific slopes","moderate",1,5,"4","Initiate by tau",2,1029,995.719741327566,0.967657668928636,0.645027701137052,0.66658666783596,0.138537934970792,0.185814039039555,0.258022895875548,0.857625330982469,1.85651816427564,3.62478782767762,10.5191897709649,0.00291545189504373,0.00097181729834791,0,712.650283992814,0.692565873656768,1.44390597059016
"Federated: site-specific slopes","moderate",1,5,"4","Initiate by tau",3,895,841.220995242265,0.939911726527671,0.649290923316686,0.690799896406624,0.138537934970792,0.173270207437684,0.251356037691381,0.806603421033618,1.96423709622462,3.89874995703476,6.39797081892907,0.00558659217877095,0,0,606.092903314564,0.677198774653144,1.47667130749342
"Federated: site-specific slopes","moderate",1,5,"4","Initiate by tau",4,745,703.228964298588,0.943931495702804,0.816561438499971,0.865064299917231,0.114223720996845,0.158210379982381,0.267339507725568,0.777578167748256,2.10344626672652,3.76925030261846,13.9814991698971,0.00402684563758389,0.00134228187919463,0,426.364365945023,0.572301162342313,1.74733176481278
"Federated: site-specific slopes","moderate",1,5,"4","Initiate by tau",5,281,244.933847085188,0.871650701370775,0.80224059047601,0.920369351179767,0.114223720996845,0.132811447062836,0.176378761193651,0.587616125202883,2.61632818880603,3.83257940735644,4.1713270307267,0,0,0,152.380727293643,0.542280168304778,1.84406522393415
