"task_id","rep","sample_size","covariate_scenario","n_per_site","total_n","site_covariates","pooled_common_covariates","observed_init_rate","min_site_init_rate","max_site_init_rate","observed_death_rate","fit_warning_count"
1,71,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.183333333333333,0.16,0.22,0.853333333333333,0
1,72,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.153333333333333,0.13,0.17,0.83,0
1,73,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.196666666666667,0.14,0.23,0.803333333333333,0
1,74,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.2,0.14,0.27,0.84,0
1,75,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.223333333333333,0.18,0.28,0.79,0
1,76,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.213333333333333,0.11,0.27,0.856666666666667,0
1,77,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.203333333333333,0.12,0.27,0.846666666666667,0
1,78,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.176666666666667,0.17,0.18,0.83,0
1,79,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.21,0.11,0.27,0.856666666666667,0
1,80,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.183333333333333,0.11,0.26,0.843333333333333,0
1,81,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.22,0.19,0.25,0.813333333333333,0
1,82,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.186666666666667,0.15,0.24,0.82,0
1,83,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.193333333333333,0.15,0.24,0.793333333333333,0
1,84,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.16,0.13,0.19,0.81,0
1,85,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.193333333333333,0.15,0.23,0.836666666666667,0
1,86,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.196666666666667,0.18,0.22,0.85,0
1,87,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.173333333333333,0.14,0.19,0.826666666666667,0
1,88,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.186666666666667,0.16,0.23,0.836666666666667,0
1,89,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.153333333333333,0.12,0.18,0.84,0
1,90,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.18,0.15,0.23,0.853333333333333,0
1,91,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.203333333333333,0.2,0.21,0.85,0
1,92,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.206666666666667,0.15,0.26,0.87,0
1,93,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.17,0.12,0.2,0.86,0
1,94,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.203333333333333,0.12,0.25,0.87,0
1,95,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.216666666666667,0.18,0.26,0.81,0
1,96,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.196666666666667,0.18,0.22,0.813333333333333,0
1,97,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.21,0.15,0.29,0.813333333333333,0
1,98,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.193333333333333,0.18,0.2,0.823333333333333,0
1,99,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.2,0.19,0.22,0.81,0
1,100,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.183333333333333,0.17,0.2,0.813333333333333,0
1,101,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.226666666666667,0.13,0.28,0.843333333333333,0
1,102,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.19,0.17,0.2,0.866666666666667,0
