"method","estimand","tau","beta_trt","practice_heterogeneity","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated landmark IPW","RD",15,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.199549049125928,-0.0806842520182238,0.12574925527169,-0.118864797107704,0.0412437348768851,NA,100
"Federated landmark IPW","RD",5,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.171404165622528,-0.0831065002228764,0.107404119842808,-0.0882976653996517,0.0614567865274636,NA,100
"Federated landmark IPW","RD",10,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.1718718345366,-0.0657536439267112,0.115587576954649,-0.106118190609888,0.0460502313348165,NA,100
"Federated landmark IPW","RD",15,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.132077790721105,-0.0558643664400532,0.0890529195086836,-0.0762134242810521,0.0462965455915833,NA,100
"Federated landmark IPW","RD",5,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.137285686366463,-0.0565574615448907,0.102460119363443,-0.0807282248215723,0.0634132651668401,NA,100
"Federated landmark IPW","RD",10,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.116804348619808,-0.0453202891991162,0.0925152676783574,-0.0714840594206922,0.0590249391080084,NA,100
"Federated landmark IPW","RD",15,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0975396319883981,-0.0387935474535699,0.0722631605425916,-0.0587460845348282,0.0422936096545006,NA,100
"Federated IPW (no cloning)","RD",5,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.235731239948632,-0.123159625116445,0.12844403270909,-0.112571614832188,0.0621622272575854,NA,100
"Federated IPW (no cloning)","RD",10,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.292561247302945,-0.0986919287439432,0.200655511469578,-0.193869318559002,0.0520035119694597,NA,100
"Federated IPW (no cloning)","RD",15,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.34040935144468,-0.0835435065798975,0.260345247731806,-0.256865844864783,0.0426352365111327,NA,100
"Federated IPW (no cloning)","RD",5,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.176033664761511,-0.0815749078524334,0.107252744191929,-0.0944587569090776,0.0510564589438993,NA,100
"Federated IPW (no cloning)","RD",10,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.231016896727042,-0.0663645447568586,0.172843456508941,-0.164652351970184,0.052843044214576,NA,100
"Federated IPW (no cloning)","RD",15,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.271400700236985,-0.0600422575138446,0.21789272931516,-0.21135844272314,0.0532276431756931,NA,100
"Federated IPW (no cloning)","RD",5,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.142463508728679,-0.0571082601327674,0.10152718416007,-0.0853552485959119,0.0552519542193166,NA,100
"Federated IPW (no cloning)","RD",10,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.187388765480705,-0.0470425446288822,0.149233791361854,-0.140346220851823,0.0509868548799618,NA,100
"Federated IPW (no cloning)","RD",15,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.217550369175728,-0.0410403155613643,0.180898953308362,-0.176510053614364,0.0398054902197138,NA,100
"Federated IPW (no cloning)","RD",5,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.233906967880231,-0.122180783568385,0.11959295673055,-0.111726184311846,0.0428732574068873,NA,100
"Federated IPW (no cloning)","RD",10,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.294133824915119,-0.0950230596921594,0.202382085983544,-0.199110765222959,0.0364236006764917,NA,100
"Federated IPW (no cloning)","RD",15,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.328346599096421,-0.0803837983595551,0.250290428053265,-0.247962800736866,0.0342266336398842,NA,100
"Federated IPW (no cloning)","RD",5,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.172570854701044,-0.0820864549176094,0.0992179107244115,-0.090484399783435,0.040908461552776,NA,100
"Federated IPW (no cloning)","RD",10,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.228364295297457,-0.0647974327551505,0.167269778766096,-0.163566862542306,0.0351771902468293,NA,100
"Federated IPW (no cloning)","RD",15,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.270876711655424,-0.0540089516710813,0.21926015284854,-0.216867759984343,0.0324642663934228,NA,100
"Federated IPW (no cloning)","RD",5,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.133573431026739,-0.056633481800703,0.0869386555033651,-0.0769399492260363,0.040683231025752,NA,100
"Federated IPW (no cloning)","RD",10,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.187863705500027,-0.0454307335797954,0.147452819461402,-0.142432971920231,0.038339030895257,NA,100
"Federated IPW (no cloning)","RD",15,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.220957153418664,-0.0392434111994597,0.184473048370359,-0.181713742219204,0.031947265002766,NA,100
"Federated IPW (no cloning)","RD",5,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.243089991342586,-0.121345311474259,0.130690761189042,-0.121744679868328,0.0477610633852162,NA,100
"Federated IPW (no cloning)","RD",10,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.287148535178249,-0.0952227348391839,0.195762988109795,-0.191925800339065,0.038764175352936,NA,100
"Federated IPW (no cloning)","RD",15,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.336011921517282,-0.0806842520182238,0.257762433607387,-0.255327669499058,0.0355228389668482,NA,100
"Federated IPW (no cloning)","RD",5,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.176917858377379,-0.0831065002228764,0.106794075600561,-0.0938113581545027,0.0512904549824734,NA,100
"Federated IPW (no cloning)","RD",10,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.225963576009221,-0.0657536439267112,0.163439572061203,-0.160209932082509,0.032493532809022,NA,100
"Federated IPW (no cloning)","RD",15,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.259774510706808,-0.0558643664400532,0.206873796577211,-0.203910144266755,0.0350673345854802,NA,100
"Federated IPW (no cloning)","RD",5,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.132791031663505,-0.0565574615448907,0.0884105411474542,-0.0762335701186144,0.0450013083194322,NA,100
"Federated IPW (no cloning)","RD",10,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.187696133556471,-0.0453202891991162,0.150477554316565,-0.142375844357355,0.0489548678631653,NA,100
"Federated IPW (no cloning)","RD",15,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.227930932196159,-0.0387935474535699,0.193216989880561,-0.189137384742589,0.0396939665572637,NA,100
"Federated per-protocol (unweighted)","RD",5,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0253454083238625,-0.123159625116445,0.0991680310206745,0.0978142167925822,0.0164125281592132,NA,100
"Federated per-protocol (unweighted)","RD",10,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0644010659900823,-0.0986919287439432,0.0381082948853839,0.0342908627538608,0.016708398380203,NA,100
"Federated per-protocol (unweighted)","RD",15,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.101059178558245,-0.0835435065798975,0.0231424726893482,-0.0175156719783479,0.0152015176450003,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",0.0282292094355192,-0.0815749078524334,0.110728588147956,0.109804117287953,0.0143504499578629,NA,100
"Federated per-protocol (unweighted)","RD",10,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0111871186100301,-0.0663645447568586,0.0572365561746658,0.0551774261468285,0.0152909495429887,NA,100
"Federated per-protocol (unweighted)","RD",15,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0434175502002169,-0.0600422575138446,0.0233231010277143,0.0166247073136277,0.0164404695392771,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",0.0552231227871807,-0.0571082601327674,0.113170402958863,0.112331382919948,0.013824313129356,NA,100
"Federated per-protocol (unweighted)","RD",10,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",0.0208746559217862,-0.0470425446288822,0.0695003232768368,0.0679172005506685,0.0148238411898306,NA,100
"Federated per-protocol (unweighted)","RD",15,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0118792792243357,-0.0410403155613643,0.0325969966865159,0.0291610363370286,0.0146404087516497,NA,100
"Federated per-protocol (unweighted)","RD",5,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",0.00703819812305321,-0.122180783568385,0.130254773411807,0.129218981691438,0.0164765142676806,NA,100
"Federated per-protocol (unweighted)","RD",10,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0354297581705258,-0.0950230596921594,0.0619966707237539,0.0595933015216336,0.0171807266512177,NA,100
"Federated per-protocol (unweighted)","RD",15,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0711916832825211,-0.0803837983595551,0.018203530339825,0.00919211507703402,0.0157913650244956,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",0.0547432491813897,-0.0820864549176094,0.137655675549136,0.136829704098999,0.0151329824772258,NA,100
"Federated per-protocol (unweighted)","RD",10,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",0.0143543904483863,-0.0647974327551505,0.0807121223323617,0.0791518232035368,0.0158730944120009,NA,100
"Federated per-protocol (unweighted)","RD",15,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0185288627420151,-0.0540089516710813,0.0388508089136303,0.0354800889290662,0.0159084706116262,NA,100
